time: 3.9714 , HR: 0.00 
time: 4.1853 , HR: 0.00 
time: 4.2622 , HR: 0.00 
time: 4.3390 , HR: 0.00 
time: 4.4198 , HR: 0.00 
time: 4.4916 , HR: 0.00 
time: 4.5624 , HR: 0.00 
time: 4.6342 , HR: 0.00 
time: 4.7130 , HR: 0.00 
time: 4.7878 , HR: 0.00 
time: 4.8606 , HR: 0.00 
time: 4.9434 , HR: 0.00 
time: 5.0542 , HR: 0.00 
time: 5.1326 , HR: 0.00 
time: 5.2523 , HR: 0.00 
time: 5.3430 , HR: 0.00 
time: 5.4301 , HR: 0.00 
time: 5.5048 , HR: 0.00 
time: 5.5763 , HR: 0.00 
time: 5.6590 , HR: 0.00 
time: 5.7308 , HR: 0.00 
time: 5.8023 , HR: 0.00 
time: 5.8771 , HR: 0.00 
time: 5.9729 , HR: 0.00 
time: 6.0450 , HR: 0.00 
time: 6.1159 , HR: 0.00 
time: 6.1847 , HR: 0.00 
time: 6.2661 , HR: 0.00 
time: 6.3372 , HR: 0.00 
time: 6.4089 , HR: 0.00 
time: 6.4857 , HR: 0.00 
time: 6.5570 , HR: 0.00 
time: 6.6358 , HR: 0.00 
time: 6.7066 , HR: 0.00 
time: 6.7814 , HR: 0.00 
time: 6.8545 , HR: 0.00 
time: 6.9321 , HR: 0.00 
time: 7.0021 , HR: 0.00 
time: 7.0735 , HR: 0.00 
time: 7.1463 , HR: 0.00 
time: 7.2278 , HR: 0.00 
time: 7.2986 , HR: 0.00 
time: 7.3681 , HR: 0.00 
time: 7.4408 , HR: 0.00 
time: 7.5226 , HR: 0.00 
time: 7.5924 , HR: 0.00 
time: 7.6645 , HR: 0.00 
time: 7.7354 , HR: 0.00 
time: 7.8072 , HR: 0.00 
time: 7.8885 , HR: 0.00 
time: 7.9608 , HR: 0.00 
time: 8.0324 , HR: 0.00 
time: 8.1014 , HR: 0.00 
time: 8.1862 , HR: 0.00 
time: 8.2600 , HR: 0.00 
time: 8.3337 , HR: 0.00 
time: 8.4180 , HR: 0.00 
time: 8.5151 , HR: 0.00 
time: 8.5840 , HR: 0.00 
time: 8.6582 , HR: 0.00 
time: 8.7280 , HR: 0.00 
time: 8.8068 , HR: 0.00 
time: 8.8761 , HR: 0.00 
time: 8.9510 , HR: 0.00 
time: 9.0249 , HR: 0.00 
time: 9.1036 , HR: 0.00 
time: 9.1739 , HR: 0.00 
time: 9.2454 , HR: 0.00 
time: 9.3194 , HR: 0.00 
time: 9.4001 , HR: 0.00 
time: 9.4710 , HR: 0.00 
time: 9.5448 , HR: 0.00 
time: 9.6177 , HR: 0.00 
time: 9.6903 , HR: 0.00 
time: 9.7731 , HR: 0.00 
time: 9.8433 , HR: 0.00 
